id;dni_usuario;nombre_usuario;dni_usuario_anulador;nombre_usuario_anulador;motivo;causa_rechazo;fecha_anulacion;dni_alumno;nombre_alumno;alumno_titulo_id;establecimiento_id;clave_estab;rama;nro_formulario
1;Bedfordshire Deportes compress;repurpose;de;Azul Práctico;Rojo networks de;Pound;2022-06-05;Rojo technologies móbil;Gerente connecting Pescado;9322;38134;communities Leone;auxiliary iterate functionalities;89668
2;open-source regional;Valenciana navigating;Denar Amarillo;Pollo Práctico;Amarillo;best-of-breed;2022-06-06;Violeta Money innovative;Account transparent initiatives;36692;12171;Ordenador;artificial;8872
3;Inverso Artesanal;Raton back-end;Hormigon;calculate unleash;mobile connecting;Ensalada;2022-06-06;hack Granito;calculating Taka;96289;27915;Verde Plástico;capacitor portal;84302
4;Pantalones Especialista metrics;Bajada;array Baleares;payment;multi-byte SDD;Jardines leverage deposit;2022-06-05;firewall turn-key;withdrawal Guinea-Bisau Cliente;57878;898;Won;Guapo;91324
5;Atún Ladrillo payment;1080p;Metal Fuerte;Corporativo Rial;local deposit de;backing;2022-06-06;Diseñador Masía Interacciones;Violeta sticky concepto;49259;53502;deposit;Terrenos;60716
6;Marca compuesto;Dinánmico Cliente Juguetería;Adelante indexing;hard quantify;Violeta technologies Datos;benchmark Fantástico Bacon;2022-06-06;Blanco;Inversor;32936;28369;Auto Queso quantifying;Seguridada;90485
7;e-services redefine;groupware Masía;Contabilidad Inversor;hacking;Muelle;Central;2022-06-06;input;Mauritius Corporativo Electrónica;54882;42345;interfaz;interface;65912
8;calculating Descentralizado;Galicia;PNG;Deportes Música Refinado;Sopa alianza strategic;cross-platform;2022-06-06;deposit;capacidad;84937;33203;Productor Bedfordshire e-markets;Lado Factores Canarias;29644
9;estatica;Música Dong;Borders transmit reboot;bus;strategic Acero Home;communities copying;2022-06-06;Amarillo Hormigon Guapo;synthesize;61443;74280;Rioja colaboración;Verde drive Adelante;41180
10;Especialista index mobile;Sopa Subida;invoice paradigma;Account Trinidad Sabroso;Inversor Bebes;Queso Amarillo Account;2022-06-06;Islas Rústico 24/7;Guam;70102;29106;Plástico mobile Práctico;mobile Azul Director;35599
